Filename,Compared Field,Compared Value,FBID,Difference,Absolute Difference,Prefix Match,Suffix Match,Matching Percentage
624029945_10164421296201834_3957307785578645506_n.jpg,part2,10164421296201834,10164421296181834,20000,20000,11,4,88.24
570344419_10163952272516834_4980132425325679595_n.jpg,part2,10163952272516834,10163952272511834,5000,5000,13,3,94.12
558196660_10163876776411834_7600114198391149426_n.jpg,part2,10163876776411834,10163876776401834,10000,10000,12,4,94.12
589527281_10164104019681834_8507217882452927086_n.jpg,part2,10164104019681834,10164104019666834,15000,15000,12,3,88.24
722132742_1813064316743656_4007207037137910767_n.png,part2,1813064316743656,10165095864016834,-8352031547273178,8352031547273178,1,0,25.00
623271641_10164398276971834_4264633330327051368_n.jpg,part2,10164398276971834,10164398276966834,5000,5000,12,3,88.24
559300959_10163870279861834_493885530882023676_n.jpg,part2,10163870279861834,10163870279851834,10000,10000,12,4,94.12
596485313_10164187274426834_5612525474278085568_n.jpg,part2,10164187274426834,10164187274421834,5000,5000,13,3,94.12
612212770_10164311339206834_3302005990956171278_n.jpg,part2,10164311339206834,10164311339201834,5000,5000,13,3,94.12
571346104_10163975015056834_485966849490786245_n.jpg,part2,10163975015056834,10163975015041834,15000,15000,12,3,88.24
716809820_10165051089371834_8184687914580159174_n.jpg,part2,10165051089371834,10165051078206834,11165000,11165000,9,3,70.59
586845512_10164090099411834_225665758118455731_n.jpg,part2,10164090099411834,10164090099406834,5000,5000,12,3,88.24
723824422_968457309285722_1895817046127136902_n.png,part2,968457309285722,10165091273501834,-9196633964216112,9196633964216112,0,0,13.33
592910257_10164137733996834_5334508913033032697_n.jpg,part2,10164137733996834,10164137733986834,10000,10000,12,4,94.12
515759141_10163419176921834_5867546671711653694_n.jpg,part2,10163419176921834,10163419176916834,5000,5000,12,3,88.24
646752796_10164586612201834_1586594485873828056_n.jpg,part2,10164586612201834,10164586612196834,5000,5000,11,3,82.35
611605052_10164297338111834_9208827582197142733_n.jpg,part2,10164297338111834,10164297338101834,10000,10000,12,4,94.12
611162672_10164297101506834_7429865075477709240_n.jpg,part2,10164297101506834,10164297101501834,5000,5000,13,3,94.12
619387138_10164370382321834_5336535459961705908_n.jpg,part2,10164370382321834,10164370382306834,15000,15000,12,3,88.24
594069978_10164142829566834_8417576396017643095_n.jpg,part2,10164142829566834,10164142829556834,10000,10000,12,4,94.12
641297494_10164534237231834_7233208540036303989_n.jpg,part2,10164534237231834,10164534237226834,5000,5000,12,3,88.24
641283355_10164540311686834_7584817165678074395_n.jpg,part2,10164540311686834,10164540311676834,10000,10000,12,4,94.12
703914912_10164972099321834_2631581248226314189_n.jpg,part2,10164972099321834,10164972099306834,15000,15000,12,3,88.24
710556742_10165025202406834_8181928826874701242_n.jpg,part2,10165025202406834,10165025202396834,10000,10000,11,4,88.24
604799540_10164256804606834_9107431294205167798_n.jpg,part2,10164256804606834,10164256804596834,10000,10000,11,4,88.24
577060860_10164023518481834_1241375908086129402_n.jpg,part2,10164023518481834,10164023518461834,20000,20000,12,4,94.12
724500779_1560505515594968_4407187310111727503_n.png,part2,1560505515594968,10165093116566834,-8604587600971866,8604587600971866,1,0,25.00
602903609_10164236599486834_3869557144866886297_n.jpg,part2,10164236599486834,10164236599471834,15000,15000,12,3,88.24
668830282_10164771386376834_6471871454545384039_n.jpg,part2,10164771386376834,10164771386371834,5000,5000,13,3,94.12
614378339_10164320736136834_7347800525538251994_n.jpg,part2,10164320736136834,10164320736116834,20000,20000,12,4,94.12
711514076_10165041299006834_7323093783452234765_n.jpg,part2,10165041299006834,10165041298991834,15000,15000,10,3,76.47
561226758_10163896998506834_6083434958527419723_n.jpg,part2,10163896998506834,10163896998496834,10000,10000,11,4,88.24
690652513_10164895956911834_7551321446475177353_n.jpg,part2,10164895956911834,10164895956901834,10000,10000,12,4,94.12
715990324_1280762903832055_6830750944558890378_n.png,part2,1280762903832055,10165054256571834,-8884291352739779,8884291352739779,1,0,6.25
590394060_10164113440621834_7923981219160563050_n.jpg,part2,10164113440621834,10164113440616834,5000,5000,12,3,88.24
686198843_10164878329591834_130417753001549986_n.jpg,part2,10164878329591834,10164878329556834,35000,35000,12,3,88.24
701537904_10164959137891834_4485309428107985233_n.jpg,part2,10164959137891834,10164959137876834,15000,15000,12,3,88.24
588298807_10164079886596834_8375355652468396289_n.jpg,part2,10164079886596834,10164079886591834,5000,5000,13,3,94.12
646536686_10164593801036834_7313209764745155274_n.jpg,part2,10164593801036834,10164593801026834,10000,10000,12,4,94.12
609151914_10164282918061834_3438966269945447088_n.jpg,part2,10164282918061834,10164282918056834,5000,5000,12,3,88.24
660536682_10164740300161834_1180117553679316850_n.jpg,part2,10164740300161834,10164740300151834,10000,10000,12,4,94.12
625982239_10164432155596834_1414547195670578387_n.jpg,part2,10164432155596834,10164432155591834,5000,5000,13,3,94.12
674212777_10164819580731834_687663191982078312_n.jpg,part2,10164819580731834,10164819580721834,10000,10000,12,4,94.12
602905981_10164208729366834_40957773191804626_n.jpg,part2,10164208729366834,10164208729351834,15000,15000,12,3,88.24
723715330_1473016898172420_6041744913043667521_n.png,part2,1473016898172420,10165095245721834,-8692078347549414,8692078347549414,1,0,18.75
602908432_10164230154976834_8265261281957493856_n.jpg,part2,10164230154976834,10164230154966834,10000,10000,12,4,94.12
645894821_10164580749256834_4259583434846983822_n.jpg,part2,10164580749256834,10164580749251834,5000,5000,13,3,94.12
623362974_10164412484751834_6875504220596985956_n.jpg,part2,10164412484751834,10164412484746834,5000,5000,12,3,88.24
724782437_1321281822838897_2182335021934634543_n.png,part2,1321281822838897,10165096917751834,-8843815094912937,8843815094912937,1,0,6.25
680130345_10164858748351834_7852848190376168057_n.jpg,part2,10164858748351834,10164858748341834,10000,10000,12,4,94.12
622503671_10164391000491834_8637552150255574728_n.jpg,part2,10164391000491834,10164391000486834,5000,5000,12,3,88.24
668235612_10164765249691834_933084237475169811_n.jpg,part2,10164765249691834,10164765249686834,5000,5000,12,3,88.24
688831573_10164890328071834_3057907606060098195_n.jpg,part2,10164890328071834,10164890328066834,5000,5000,12,3,88.24
602895650_10164231159326834_5338593763291112973_n.jpg,part2,10164231159326834,10164231159316834,10000,10000,12,4,94.12
629263576_10164456806676834_8764577843171653830_n.jpg,part2,10164456806676834,10164456806671834,5000,5000,13,3,94.12
721667314_1670226387564539_7164724195051286945_n.png,part2,1670226387564539,10165072872421834,-8494846484857295,8494846484857295,1,0,18.75
